Decimal,Alpha Tag,Mode,Description,Tag,Category,Priority
35050,DPD Disp 1,DE,District 1 Dispatch,Law Dispatch,Denver Police,
35052,DPD Tac 1,DE,District 1 Tac,Law Tac,Denver Police,
35058,DPD Disp 2,DE,District 2 Dispatch,Law Dispatch,Denver Police,
35060,DPD Tac 2,DE,District 2 Tac,Law Tac,Denver Police,
35066,DPD Disp 3,DE,District 3 Dispatch,Law Dispatch,Denver Police,
35068,DPD Tac 3,DE,District 3 Tac,Law Tac,Denver Police,
35073,DPD Disp 4,DE,District 4 Dispatch,Law Dispatch,Denver Police,
35075,DPD Tac 4,DE,District 4 Tac,Law Tac,Denver Police,
35080,DPD Disp 5,DE,District 5 Dispatch,Law Dispatch,Denver Police,
35082,DPD Tac 5,DE,District 5 Tac,Law Tac,Denver Police,
35087,DPD Disp 6,DE,District 6 Dispatch,Law Dispatch,Denver Police,
35089,DPD Tac 6,DE,District 6 Tac,Law Tac,Denver Police,
35091,DPD Tac ??,D,District 6 Tac,Law Tac,Denver Police,
39501,APD District 1,D,Police District 1,Law Dispatch,Police,
39502,APD District 2,D,Police District 2,Law Dispatch,Police,
39503,APD District 3,D,Police District 3,Law Dispatch,Police,
